WORD_ID,SENTENCE_ID,CHRON_ID,WORD,PART_OF_SPEECH,CONTENT_WORD,WORD_LENGTH,IA_AREA,IA_TOP,IA_BOTTOM,IA_LEFT,IA_RIGHT,IA_CENTER,FREQUENCY,LAST_WORD,VERB,SPILLOVER,POS,POSPenn,WORD_SKIP,RT,TOTALRT,PROGRESSIVE
2-5-18,2-3,14358,recognise,Verb,1,9,6534,142,208,270,369,320,3648,480,,,,,0,224.928571428571,293.285714285714,0.714285714285714
2-5-19,2-3,14359,the,Article,0,3,2640,142,208,369,409,389,6187927,480,,,,,0.642857142857143,169,213.2,0.214285714285714
2-5-27,2-5,14366,what,Determiner,0,4,4884,208,274,65,139,102,249481,254,0,0,WDT,WDT,0.5,222.142857142857,257.142857142857,0.214285714285714
2-5-28,2-5,14367,does,Verb,1,4,3300,208,274,139,189,164,68741,254,1,0,VBZ,VBZ255,0.142857142857143,205.916666666667,205.916666666667,0.428571428571429
2-5-29,2-5,14368,it,Pronoun,0,2,1980,208,274,189,219,204,1089559,254,0,0,PRP,PRP,0.642857142857143,146,201.2,0.285714285714286
2-5-32,2-6,14370,shrugged,Verb,1,8,6006,208,274,359,450,404,2369,544,1,0,VBD,VBD3580,0,221.285714285714,259.142857142857,0.928571428571429
2-5-33,2-6,14371,his,Pronoun,0,3,2574,208,274,450,489,470,433599,544,0,0,PRP$,PRP$,0.714285714285714,173.5,173.5,0.142857142857143
2-5-42,2-8,14379,wild,Adjective,1,4,3300,274,340,240,290,265,5529,508,0,0,JJ,JJ,0.0714285714285714,235.230769230769,300.538461538462,0.571428571428571
2-5-43,2-8,14380,idea,Noun,1,4,3300,274,340,290,340,315,21703,508,0,0,NN,NN,0.214285714285714,269.545454545455,367.363636363636,0.428571428571429
2-5-44,2-8,14381,flashed,Verb,1,7,5280,274,340,340,420,380,820,508,1,0,VBN,VBN7928,0.142857142857143,202.916666666667,251.25,0.785714285714286
2-5-45,2-8,14382,across,Preposition,0,6,4554,274,340,420,489,454,25203,508,0,0,IN,IN21,0.142857142857143,201.75,214.166666666667,0.714285714285714
2-7-64,2-23,14547,me,Pronoun,0,2,1914,340,406,550,579,564,139028,814,0,0,PRP,PRP,0.357142857142857,196.111111111111,250.444444444444,0.5
2-7-65,2-23,14548,to,To,0,2,1980,340,406,579,609,594,2560346,814,0,0,TO,TO,0.714285714285714,158,158,0.0714285714285714
2-7-66,2-23,14549,interest,Noun,1,8,5940,340,406,609,699,654,27611,814,0,0,VB,VB,0.142857142857143,192.833333333333,279.333333333333,0.642857142857143
2-7-67,2-23,14550,myself,Pronoun,0,6,4686,340,406,699,770,734,12542,814,0,0,PRP,PRP,0.142857142857143,211.583333333333,245.75,0.642857142857143
2-7-68,2-23,14551,in,Preposition,0,2,1914,340,406,770,799,784,1883295,814,0,0,IN,IN21,0.642857142857143,208.4,239,0.142857142857143
2-7-69,2-23,14552,my,Pronoun,0,2,2046,340,406,799,830,814,152626,814,0,0,PRP$,PRP$,0.428571428571429,291.5,362.875,0.285714285714286
2-7-71,2-23,14552,"coffee-cups,",ZZZ,2,12,0,406,472,66,148,107,0,424,0,0,,,0.214285714285714,270.727272727273,282,0.142857142857143
2-7-72,2-23,14553,and,Conjunction,0,3,2772,406,472,148,190,169,2682878,424,0,0,CC,CC,0.357142857142857,183,270.555555555556,0.428571428571429
2-7-73,2-23,14554,i,Pronoun,0,1,1254,406,472,190,209,200,905323,424,0,0,PRP,PRP,0.714285714285714,172,172,0.142857142857143
2-7-74,2-23,14555,will,Noun,1,4,3366,406,472,209,260,234,254566,424,0,0,MD,MD,0.5,197.142857142857,197.142857142857,0.285714285714286
2-7-75,2-23,14556,respect,Noun,1,7,5214,406,472,260,339,300,5853,424,0,0,VB,VB,0.0714285714285714,203.153846153846,331.538461538462,0.571428571428571
2-7-76,2-23,14557,your,Pronoun,0,4,3366,406,472,339,390,364,138337,424,0,0,PRP$,PRP$,0.214285714285714,205.727272727273,264.363636363636,0.357142857142857
2-7-80,2-25,14561,it,Pronoun,0,2,1980,406,472,559,589,574,1089559,660,0,0,PRP,PRP,0.285714285714286,278.7,308,0.357142857142857
2-7-81,2-25,14562,a,Article,0,1,1386,406,472,589,610,600,2150885,660,0,0,DT,DT,0.428571428571429,262.5,304.5,0
2-7-84,2-26,14565,was,Verb,1,3,2640,406,472,739,779,759,923975,866,0,0,,VBD130,0.357142857142857,248.888888888889,265.333333333333,0.357142857142857
2-7-85,2-26,14566,so,Adverb,1,2,1980,406,472,779,809,794,212158,866,0,0,RB,RB,0.5,236.142857142857,280.285714285714,0.357142857142857
2-7-86,2-26,14567,quaintly,Adverb,1,8,7590,406,472,809,924,866,45,866,0,0,RB,RB,0.142857142857143,229.083333333333,281.5,0.714285714285714
2-7-87,2-26,14568,humorous,Adjective,1,8,7458,472,538,66,179,122,443,839,0,0,JJ,JJ,0.142857142857143,334.666666666667,355.833333333333,0.571428571428571
2-7-88,2-26,14569,that,Determiner,0,4,3300,472,538,179,229,204,1115382,839,0,0,IN,IN,0.285714285714286,301.2,307.7,0.642857142857143
2-7-89,2-26,14570,i,Pronoun,0,1,1320,472,538,229,249,239,905323,839,0,0,PRP,PRP,0.714285714285714,144,144,0.0714285714285714
2-7-90,2-26,14571,was,Verb,1,3,2640,472,538,249,289,269,923975,839,0,0,VBD,VBD130,0.714285714285714,217,217,0.214285714285714
2-7-91,2-26,14572,forced,Verb,1,6,4620,472,538,289,359,324,8114,839,0,0,VBN,VBN82,0.214285714285714,238.636363636364,297,0.571428571428571
2-7-92,2-26,14573,to,To,0,2,1980,472,538,359,389,374,2560346,839,0,0,,TO,0.642857142857143,213.4,213.4,0.142857142857143
2-7-93,2-26,14574,laugh,Noun,1,5,4554,472,538,389,458,424,3807,839,0,0,VB,VB,0.357142857142857,239.555555555556,239.555555555556,0.5
2-7-94,2-26,14575,and,Conjunction,0,3,2706,472,538,458,499,478,2682878,839,0,0,,CC,0.714285714285714,320.25,346.25,0.285714285714286
2-7-95,2-26,14576,we,Pronoun,0,2,1980,472,538,499,529,514,358792,839,0,0,,PRP,0.642857142857143,241.2,294.2,0.142857142857143
2-7-96,2-26,14577,went,Verb,1,4,3300,472,538,529,579,554,48338,839,0,0,VBD,VBD738,0.214285714285714,204.181818181818,253.636363636364,0.357142857142857
2-7-97,2-26,14578,together,Adverb,1,8,5940,472,538,579,669,624,24960,839,0,0,RB,RB,0.214285714285714,190.818181818182,260.818181818182,0.5
2-7-98,2-26,14579,to,To,0,2,1980,472,538,669,699,684,2560346,839,0,0,TO,TO,0.642857142857143,255.8,329,0.285714285714286
2-7-99,2-26,14580,the,Article,0,3,2640,472,538,699,739,719,6187927,839,0,0,,DT,0.714285714285714,302.5,302.5,0.0714285714285714
2-7-100,2-26,14580,"drawing-room,",ZZZ,2,13,0,472,538,739,939,839,0,839,0,0,,,0.0714285714285714,353.692307692308,549.538461538462,0.857142857142857
2-7-101,2-26,14581,where,Adverb,1,5,4200,538,588,65,149,107,108621,800,0,0,WRB,WRB,0.5,245.714285714286,245.714285714286,0.285714285714286
2-7-102,2-26,14582,the,Article,0,3,2000,538,588,149,189,169,6187927,800,0,0,DT,DT,0.571428571428571,148.333333333333,148.333333333333,0.428571428571429
2-7-103,2-26,14582,"drawing-room,",ZZZ,2,13,0,538,588,189,309,249,0,800,0,0,,,0.285714285714286,247.1,247.1,0.642857142857143
2-7-104,2-26,14583,and,Conjunction,0,3,2000,538,588,309,349,329,2682878,800,0,0,CC,CC,0.571428571428571,196.333333333333,196.333333333333,0.428571428571429
2-7-105,2-26,14584,tray,Noun,1,4,2550,538,588,349,400,374,1439,800,0,0,NN,NN,0.714285714285714,204.5,204.5,0.285714285714286
2-7-106,2-26,14585,remained,Verb,1,8,4500,538,588,400,490,445,9102,800,1,0,VBD,VBD200,0.357142857142857,202.333333333333,202.333333333333,0.571428571428571
2-7-107,2-26,14586,undisturbed,Adjective,1,11,6000,538,588,490,610,550,273,800,0,0,JJ,JJ,0.285714285714286,320.9,334.6,0.714285714285714
2-7-108,2-26,14587,as,Conjunction,0,2,1450,538,588,610,639,624,517788,800,0,0,IN,IN21,0.714285714285714,226.25,226.25,0.285714285714286
2-7-109,2-26,14588,we,Pronoun,0,2,1500,538,588,639,669,654,358792,800,0,0,PRP,PRP,0.642857142857143,205,243.4,0.285714285714286
2-7-110,2-26,14589,had,Verb,1,3,2050,538,588,669,710,690,445396,800,0,0,VBD,VBD130,0.714285714285714,194.75,194.75,0.214285714285714
2-7-111,2-26,14590,left,Verb,1,4,2450,538,588,710,759,734,47089,800,0,0,VBN,VBN82,0.571428571428571,230.333333333333,230.333333333333,0.428571428571429
2-8-2,2-27,14592,made,Verb,1,4,2450,93,142,159,209,184,94386,817,1,0,VBD,VBN65,0.285714285714286,198.1,225.1,0.714285714285714
2-8-3,2-27,14593,me,Pronoun,0,2,1519,93,142,209,240,224,139028,817,0,0,PRP,PRP,0.785714285714286,237,237,0.214285714285714
2-8-4,2-27,14594,recapitulate,Verb,1,12,6321,93,142,240,369,304,34,817,0,0,VBP,VBP,0.0714285714285714,689.615384615385,804.846153846154,0.857142857142857
2-8-5,2-27,14595,the,Article,0,3,1960,93,142,369,409,389,6187927,817,0,0,,DT,0.571428571428571,218.166666666667,234.833333333333,0.428571428571429
