WORD_ID,SENTENCE_ID,CHRON_ID,WORD,PART_OF_SPEECH,CONTENT_WORD,WORD_LENGTH,IA_AREA,IA_TOP,IA_BOTTOM,IA_LEFT,IA_RIGHT,IA_CENTER,FREQUENCY,LAST_WORD,VERB,SPILLOVER,POS,POSPenn,WORD_SKIP,RT,TOTALRT,PROGRESSIVE
1-5-67,1-4,65,will,Noun,1,4,3300,340,406,759,809,784,254566,871,1,0,MD,MD,0.357142857142857,210.444444444444,252.111111111111,0.357142857142857
1-5-68,1-4,66,therefore,Adverb,1,9,8184,340,406,809,933,871,23218,871,0,0,RB,RB,0.0714285714285714,259.538461538462,297.615384615385,0.857142857142857
1-5-69,1-4,67,briefly,Adverb,1,7,7176,406,475,66,170,118,3280,841,0,0,NN,NN,0,275.357142857143,328.785714285714,0.5
1-5-70,1-4,68,set,Verb,1,3,2691,406,475,170,209,190,45043,841,0,0,VB,VB,0.357142857142857,217.666666666667,266.333333333333,0.5
1-5-71,1-4,69,down,Adverb,1,4,3450,406,475,209,259,234,96025,841,0,0,IN,IN,0.357142857142857,221.444444444444,249.222222222222,0.642857142857143
1-5-72,1-4,70,the,Article,0,3,2760,406,475,259,299,279,6187927,841,0,0,,DT,0.642857142857143,161.2,161.2,0.357142857142857
1-5-73,1-4,71,circumstances,Noun,1,13,9660,406,475,299,439,369,10417,841,0,0,NNS,NNS,0,261.285714285714,261.285714285714,1
1-5-74,1-4,72,which,Determiner,0,5,4209,406,475,439,500,470,372034,841,0,0,WDT,WDT,0.428571428571429,284,303.375,0.571428571428571
1-5-75,1-4,73,led,Verb,1,3,2691,406,475,500,539,520,15563,841,0,0,VBD,VBN305,0.357142857142857,186,186,0.357142857142857
1-5-76,1-4,74,to,To,0,2,2070,406,475,539,569,554,2560346,841,0,0,TO,TO,0.428571428571429,213.75,228.75,0.428571428571429
1-5-77,1-4,75,my,Pronoun,0,2,2139,406,475,569,600,584,152626,841,0,0,PRP$,PRP$,0.428571428571429,256.25,292.375,0.357142857142857
1-5-78,1-4,76,being,Verb,1,5,4140,406,475,600,660,630,89068,841,0,0,VBG,VBG872,0.357142857142857,250.111111111111,380.888888888889,0.642857142857143
1-5-79,1-4,77,connected,Verb,1,9,6831,406,475,660,759,710,3360,841,0,0,VBN,VBN305,0,212.642857142857,309.285714285714,1
1-5-80,1-4,78,with,Preposition,0,4,3450,406,475,759,809,784,652050,841,0,0,IN,IN21,0.428571428571429,194,194,0.5
1-5-81,1-4,79,the,Article,0,3,4416,406,475,809,873,841,6187927,841,0,0,DT,DT,0.571428571428571,169.166666666667,213.833333333333,0.357142857142857
1-6-2,1-5,82,had,Verb,1,3,2009,93,142,109,150,130,445396,882,1,0,VBD,VBD130,0.0714285714285714,207.923076923077,289.076923076923,0.714285714285714
1-6-3,1-5,83,been,Verb,1,4,2450,93,142,150,200,175,268723,882,0,0,VBN,VBN295,0.0714285714285714,209.692307692308,314.230769230769,0.785714285714286
1-6-4,1-5,84,invalided,Verb,1,9,4900,93,142,200,300,250,38,882,0,0,VBN,VBN,0,388.142857142857,1063.35714285714,1
1-6-5,1-5,85,home,Noun,1,4,2401,93,142,300,349,324,52459,882,0,0,RB,RB,0.214285714285714,326.090909090909,542.545454545455,0.714285714285714
1-6-6,1-5,86,from,Preposition,0,4,2450,93,142,349,399,374,413535,882,0,0,IN,IN21,0,236.285714285714,408.571428571429,0.857142857142857
1-6-7,1-5,87,the,Article,0,3,1960,93,142,399,439,419,6187927,882,0,0,DT,DT,0.5,274.142857142857,302.714285714286,0.214285714285714
1-6-8,1-5,88,front,Preposition,0,5,3381,93,142,439,508,474,15106,882,0,0,NN,NN,0,266.642857142857,307.285714285714,1
1-6-9,1-5,89,and,Conjunction,0,3,2450,93,142,508,558,533,2682878,882,0,0,CC,CC,0.357142857142857,213.333333333333,271.555555555556,0.642857142857143
1-6-10,1-5,90,after,Preposition,0,5,3038,93,142,558,620,589,117138,882,0,0,IN,IN21,0.214285714285714,215.363636363636,215.363636363636,0.642857142857143
1-6-11,1-5,91,spending,Verb,1,8,4410,93,142,620,710,665,6644,882,0,0,VBG,VBG,0.142857142857143,364.833333333333,467.833333333333,0.785714285714286
1-6-12,1-5,92,some,Determiner,0,4,2401,93,142,710,759,734,171368,882,0,0,DT,DT,0.571428571428571,314.166666666667,381.666666666667,0.357142857142857
1-6-13,1-5,93,months,Noun,1,6,3430,93,142,759,829,794,24818,882,0,0,,NNS,0.142857142857143,354.583333333333,366.916666666667,0.785714285714286
1-6-14,1-5,94,in,Preposition,0,2,1519,93,142,829,860,844,1883295,882,0,0,IN,IN21,0.571428571428571,145.166666666667,149.833333333333,0.428571428571429
1-6-15,1-5,95,a,Article,0,1,2156,93,142,860,904,882,2150885,882,0,0,,DT,0.642857142857143,173.6,173.6,0.357142857142857
1-6-16,1-5,96,rather,Adverb,1,6,6138,142,208,67,160,114,21341,744,0,0,RB,RB,0,288.928571428571,304.357142857143,0.5
1-6-17,1-5,97,depressing,Adjective,1,10,7260,142,208,160,270,215,692,744,0,0,JJ,JJ,0,192.285714285714,273.785714285714,0.785714285714286
1-6-18,1-5,98,convalescent,Adjective,1,12,8514,142,208,270,399,334,108,744,0,0,NNP,NNP,0,553.5,751.571428571429,0.785714285714286
1-6-19,1-5,99,home,Noun,1,4,3828,142,208,399,457,428,52459,744,0,0,NNP,NNP,0.357142857142857,198.888888888889,244.666666666667,0.571428571428571
1-6-20,1-5,100,was,Verb,1,3,2772,142,208,457,499,478,923975,744,0,0,VBD,VBD130,0.571428571428571,265.666666666667,265.666666666667,0.285714285714286
1-6-21,1-5,101,given,Verb,1,5,4026,142,208,499,560,530,41864,744,0,0,VBN,VBN,0.214285714285714,243.090909090909,283.090909090909,0.642857142857143
1-6-22,1-5,102,a,Article,0,1,1254,142,208,560,579,570,2150885,744,0,0,DT,DT,0.785714285714286,185,318,0.142857142857143
